Timestamp,Market Cap (USD),Coin
2024-08-18 00:00:00,1173270497431.1711,Bitcoin (BTC)
2024-08-19 00:00:00,1156217205294.1643,Bitcoin (BTC)
2024-08-20 00:00:00,1176063402361.815,Bitcoin (BTC)
2024-08-21 00:00:00,1166088863323.0896,Bitcoin (BTC)
2024-08-22 00:00:00,1207099049402.5117,Bitcoin (BTC)
2024-08-23 00:00:00,1192308382713.8381,Bitcoin (BTC)
2024-08-24 00:00:00,1261916434075.0183,Bitcoin (BTC)
2024-08-25 00:00:00,1264961887998.9824,Bitcoin (BTC)
2024-08-26 00:00:00,1269291077270.1143,Bitcoin (BTC)
2024-08-27 00:00:00,1242487823611.2612,Bitcoin (BTC)
2024-08-28 00:00:00,1176762244308.0742,Bitcoin (BTC)
2024-08-29 00:00:00,1166032395735.947,Bitcoin (BTC)
2024-08-30 00:00:00,1171762256043.917,Bitcoin (BTC)
2024-08-31 00:00:00,1168247205700.9673,Bitcoin (BTC)
2024-09-01 00:00:00,1164278309271.2642,Bitcoin (BTC)
2024-09-02 00:00:00,1133133027660.6194,Bitcoin (BTC)
2024-09-03 00:00:00,1168410293915.9832,Bitcoin (BTC)
2024-09-04 00:00:00,1137361604370.578,Bitcoin (BTC)
2024-09-05 00:00:00,1144983177152.221,Bitcoin (BTC)
2024-09-06 00:00:00,1109212553022.4158,Bitcoin (BTC)
2024-09-07 00:00:00,1065462041080.5197,Bitcoin (BTC)
2024-09-08 00:00:00,1068954727890.2039,Bitcoin (BTC)
2024-09-09 00:00:00,1085390277573.522,Bitcoin (BTC)
2024-09-10 00:00:00,1126840069631.8132,Bitcoin (BTC)
2024-09-11 00:00:00,1137928777838.5286,Bitcoin (BTC)
2024-09-12 00:00:00,1134292554478.847,Bitcoin (BTC)
2024-09-13 00:00:00,1148469900814.253,Bitcoin (BTC)
2024-09-14 00:00:00,1197832322916.0117,Bitcoin (BTC)
2024-09-15 00:00:00,1185255944124.8464,Bitcoin (BTC)
2024-09-16 00:00:00,1169677517083.0613,Bitcoin (BTC)
2024-09-17 00:00:00,1150499194409.9338,Bitcoin (BTC)
2024-09-18 00:00:00,1191818552363.6113,Bitcoin (BTC)
2024-09-19 00:00:00,1211837853548.9263,Bitcoin (BTC)
2024-09-20 00:00:00,1243871590271.4927,Bitcoin (BTC)
2024-09-21 00:00:00,1246475981189.1353,Bitcoin (BTC)
2024-09-22 00:00:00,1254104417392.48,Bitcoin (BTC)
2024-09-23 00:00:00,1255899286380.1958,Bitcoin (BTC)
2024-09-24 00:00:00,1251095079247.0432,Bitcoin (BTC)
2024-09-25 00:00:00,1271183646356.5713,Bitcoin (BTC)
2024-09-26 00:00:00,1245721254991.302,Bitcoin (BTC)
2024-09-27 00:00:00,1287151352432.846,Bitcoin (BTC)
2024-09-28 00:00:00,1299708226182.0723,Bitcoin (BTC)
2024-09-29 00:00:00,1303217687717.8518,Bitcoin (BTC)
2024-09-30 00:00:00,1297825615076.3352,Bitcoin (BTC)
2024-10-01 00:00:00,1249577803402.1707,Bitcoin (BTC)
2024-10-02 00:00:00,1202927109017.5488,Bitcoin (BTC)
2024-10-03 00:00:00,1198652098493.4897,Bitcoin (BTC)
2024-10-04 00:00:00,1200491237695.5154,Bitcoin (BTC)
2024-10-05 00:00:00,1226663492771.043,Bitcoin (BTC)
2024-10-06 00:00:00,1226761949791.163,Bitcoin (BTC)
2024-10-07 00:00:00,1241834324867.657,Bitcoin (BTC)
2024-10-08 00:00:00,1231091696620.0955,Bitcoin (BTC)
2024-10-09 00:00:00,1229717180592.4397,Bitcoin (BTC)
2024-10-10 00:00:00,1197736450280.4102,Bitcoin (BTC)
2024-10-11 00:00:00,1189691671375.1472,Bitcoin (BTC)
2024-10-12 00:00:00,1233357176570.333,Bitcoin (BTC)
2024-10-13 00:00:00,1249002272717.2275,Bitcoin (BTC)
2024-10-14 00:00:00,1241241970951.0295,Bitcoin (BTC)
2024-10-15 00:00:00,1306085613997.8015,Bitcoin (BTC)
2024-10-16 00:00:00,1323774576161.621,Bitcoin (BTC)
2024-10-17 00:00:00,1337304399194.887,Bitcoin (BTC)
2024-10-18 00:00:00,1330387728623.8188,Bitcoin (BTC)
2024-10-19 00:00:00,1353541799303.4875,Bitcoin (BTC)
2024-10-20 00:00:00,1351942347611.1997,Bitcoin (BTC)
2024-10-21 00:00:00,1362381684459.9053,Bitcoin (BTC)
